spectrum_id,inchikey,ion_mode,precursor_mz,instrument_type,contributor,license
MSBNK-ACES_SU-AS000402,VEQOALNAAJBPNY-UHFFFAOYSA-N,POSITIVE,189.1018,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000403,FAKRSMQSSFJEIM-RQJHMYQMSA-N,POSITIVE,218.1099,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000404,BLXXJMDCKKHMKV-UHFFFAOYSA-N,POSITIVE,229.1221,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000405,NXFQHRVNIOXGAQ-YCRREMRBSA-N,POSITIVE,239.0408,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000406,IJHNSHDBIRRJRN-UHFFFAOYSA-N,POSITIVE,241.1696,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000407,NPUKDXXFDDZOKR-LLVKDONJSA-N,POSITIVE,245.1279,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000408,XFYDIVBRZNQMJC-UHFFFAOYSA-N,POSITIVE,254.0257,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000409,FNYLWPVRPXGIIP-UHFFFAOYSA-N,POSITIVE,254.1144,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000410,DKYWVDODHFEZIM-UHFFFAOYSA-N,POSITIVE,255.1013,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000411,ATCGGEJZONJOCL-UHFFFAOYSA-N,POSITIVE,256.0147,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000412,HSMPDPBYAYSOBC-UHFFFAOYSA-N,POSITIVE,261.0751,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000413,HXHWSAZORRCQMX-UHFFFAOYSA-N,POSITIVE,266.095,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000414,QVYRGXJJSLMXQH-UHFFFAOYSA-N,POSITIVE,270.1848,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000415,LMEKQMALGUDUQG-UHFFFAOYSA-N,POSITIVE,278.0447,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000416,QSLMDECMDJKHMQ-UHFFFAOYSA-N,POSITIVE,278.1896,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000417,LPEPZBJOKDYZAD-UHFFFAOYSA-N,POSITIVE,282.0729,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000418,RJMIEHBSYVWVIN-UHFFFAOYSA-N,POSITIVE,282.112,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000419,XMFCOYRWYYXZMY-UHFFFAOYSA-N,POSITIVE,288.0793,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000420,YBBLVLTVTVSKRW-UHFFFAOYSA-N,POSITIVE,294.1704,LC-ESI-QFT,ACES_SU,CC BY
